
Anzahl Tastatureingaben : 10000
KEY: 21 00 08 02
KEY: 1C 0D 00 00
KEY: 14 54 01 00
KEY: 39 20 01 00
KEY: 18 4F 01 00
KEY: 39 20 01 00
KEY: 19 50 01 00
KEY: 39 20 01 00
KEY: 39 20 01 00
KEY: 39 20 01 00
KEY: 39 20 01 00
KEY: 1F 53 01 00
KEY: 39 20 01 00
KEY: 12 45 01 00
KEY: 39 20 01 00
KEY: 2E 43 01 00
KEY: 39 20 01 00
KEY: 13 52 01 00
KEY: 39 20 01 00
KEY: 12 45 01 00
KEY: 39 20 01 00
KEY: 14 54 01 00
KEY: 47 E0 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 39 20 00 00
KEY: 4F E0 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 39 20 00 00
KEY: 35 2D 00 00
KEY: 1C 0D 00 00
KEY: 1C 0D 00 00
KEY: 21 46 01 00
KEY: 18 6F 00 00
KEY: 26 6C 00 00
KEY: 22 67 00 00
KEY: 12 65 00 00
KEY: 31 6E 00 00
KEY: 20 64 00 00
KEY: 12 65 00 00
KEY: 39 20 00 00
KEY: 1A 9A 01 00
KEY: 30 62 00 00
KEY: 12 65 00 00
KEY: 13 72 00 00
KEY: 14 74 00 00
KEY: 13 72 00 00
KEY: 1E 61 00 00
KEY: 22 67 00 00
KEY: 16 75 00 00
KEY: 31 6E 00 00
KEY: 22 67 00 00
KEY: 39 20 00 00
KEY: 17 69 00 00
KEY: 1F 73 00 00
KEY: 14 74 00 00
KEY: 39 20 00 00
KEY: 1F 73 00 00
KEY: 14 74 00 00
KEY: 13 72 00 00
KEY: 12 65 00 00
KEY: 31 6E 00 00
KEY: 22 67 00 00
KEY: 39 20 00 00
KEY: 22 67 00 00
KEY: 12 65 00 00
KEY: 23 68 00 00
KEY: 12 65 00 00
KEY: 17 69 00 00
KEY: 32 6D 00 00
KEY: 39 20 00 00
KEY: 16 75 00 00
KEY: 31 6E 00 00
KEY: 20 64 00 00
KEY: 39 20 00 00
KEY: 20 64 00 00
KEY: 1E 61 00 00
KEY: 13 72 00 00
KEY: 21 66 00 00
KEY: 39 20 00 00
KEY: 11 77 00 00
KEY: 12 65 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 17 69 00 00
KEY: 16 75 00 00
KEY: 0E 08 00 00
KEY: 0E 08 00 00
KEY: 16 75 00 00
KEY: 31 6E 00 00
KEY: 14 74 00 00
KEY: 12 65 00 00
KEY: 13 72 00 00
KEY: 26 6C 00 00
KEY: 17 69 00 00
KEY: 12 65 00 00
KEY: 22 67 00 00
KEY: 14 74 00 00
KEY: 39 20 00 00
KEY: 20 64 00 00
KEY: 12 65 00 00
KEY: 13 72 00 00
KEY: 1C 0D 00 00
KEY: 30 42 01 00
KEY: 12 65 00 00
KEY: 1F 73 00 00
KEY: 14 74 00 00
KEY: 17 69 00 00
KEY: 32 6D 00 00
KEY: 32 6D 00 00
KEY: 16 75 00 00
KEY: 31 6E 00 00
KEY: 22 67 00 00
KEY: 39 20 00 00
KEY: 21 66 00 00
KEY: 1A 81 00 00
KEY: 13 72 00 00
KEY: 21 66 00 00
KEY: 0E 08 00 00
KEY: 39 20 00 00
KEY: 14 54 01 00
KEY: 18 4F 01 00
KEY: 19 50 01 00
KEY: 39 20 00 00
KEY: 1F 53 01 00
KEY: 12 45 01 00
KEY: 2E 43 01 00
KEY: 13 52 01 00
KEY: 12 45 01 00
KEY: 14 54 01 00
KEY: 39 20 00 00
KEY: 14 54 01 00
KEY: 12 65 00 00
KEY: 2D 78 00 00
KEY: 14 74 00 00
KEY: 12 65 00 00
KEY: 34 3A 01 00
KEY: 1C 0D 00 00
KEY: 1C 0D 00 00
KEY: 02 31 00 00
KEY: 0A 29 01 00
KEY: 39 20 00 00
KEY: 12 45 01 00
KEY: 1F 73 00 00
KEY: 39 20 00 00
KEY: 20 64 00 00
KEY: 1A 81 00 00
KEY: 13 72 00 00
KEY: 21 66 00 00
KEY: 12 65 00 00
KEY: 31 6E 00 00
KEY: 39 20 00 00
KEY: 25 6B 00 00
